,created_at,text,Subjectivity,Polarity,Sentiment
0,Thu Jul 09 10:40:34 +0000 2020,"Plt. Puskesmas Telaga Murni Gandatua Ariston Siregar mengatakan, alat swab test yang disediakan sebanyak 120 buah.Ã¢Â€Â¦ ",0.0,0.0,Neutral
1,Tue May 28 03:12:47 +0000 2019,Ruang Thalasemia dan Bank Darah RSUD Kabupaten Bekasi ,0.0,0.0,Neutral
2,Fri Feb 05 11:30:47 +0000 2016,"Sejak Awal 2016, 7 Orang Meninggal Akibat DBD di Kabupaten Bekasi ",0.375,-0.125,Negative
3,Wed Jun 10 03:15:05 +0000 2020,"Ungkap Angka Kehamilan Kabupaten Bekasi saat Wabah Corona, Dinkes: Ada Penurunan ",0.0,0.0,Neutral
4,Wed Feb 18 07:44:38 +0000 2015,Terbaru:BREAKING NEWS: Mantan Dirut RSUD Kabupaten Bekasi Terjerat Korupsi  wartakota,0.45,0.25,Positive
5,Sat Oct 20 02:17:18 +0000 2018,"Terkait Defisit BPJS Kesehatan, Ketua DPD Jamkeswatch Kabupaten Bekasi Sampaikan Surat TerbukaÃ¢Â€Â¦ ",0.5,0.0,Neutral
6,Tue Jul 23 02:01:57 +0000 2019,"Posyandu Mekar Murni 1 Kecamatan Sukakarya, Wakili Lomba Posyandu Tingkat Kabupaten Bekasi ",0.0,0.0,Neutral
7,Tue Oct 21 06:40:00 +0000 2014,3 | Warta Warga Kirana RW 023 -- -- Daftrar Rumah Sakit di Kabupaten Bekasi ,0.0,0.0,Neutral
8,Tue Jun 09 10:42:14 +0000 2015,Dokter Sampai Tukang Tambal Ban Disiapkan di Pos Kedungwaringin untuk Pemudik: Polresta Kabupaten Bekasi beser... ,0.0,0.0,Neutral
9,Mon May 28 12:29:57 +0000 2018,Kabupaten Bekasi Raih Penghargaan UHC JKN-KIS 2018  ,0.2,0.3,Positive
10,Tue Oct 07 14:27:08 +0000 2014,13.800 PNS Kabupaten Bekasi peroleh fasilitas BPJS: Sebanyak 13.800 Pegawai Negeri Sipil di lingkup Pemerintah... ,0.75,0.0,Neutral
11,Sun Feb 25 00:24:25 +0000 2018,"Akibat Kenakalan Perusahaan, Kejari Kabupaten Bekasi Berhasil Tagih Rp. 6 Miliar Tunggakan BPJS Ketenagakerjaan ",0.0,0.0,Neutral
12,Tue Oct 14 04:53:35 +0000 2014,Observasiiii (with Lima at RSUD Kabupaten Bekasi) Ã¢Â€Â” ,0.0,0.0,Neutral
13,Mon Jun 27 14:28:30 +0000 2016,RSUD Kabupaten Bekasi Pastikan tak Gunakan Vaksin Palsu ,0.9444444444444444,0.0,Neutral
14,Thu Nov 24 03:57:21 +0000 2016,Walaupun cape lama antri nunggu.. lipstick harus tetep stunning... Ã°ÂŸÂ˜Â‰Ã°ÂŸÂ˜Â„Ã°ÂŸÂ˜Â„Ã°ÂŸÂ™ÂŠÃ°ÂŸÂ™Âˆ (at RSUD Kabupaten Bekasi) [pic] Ã¢Â€Â” ,0.7,0.225,Positive
