,created_at,text,Subjectivity,Polarity,Sentiment
0,Fri Aug 12 07:47:35 +0000 2016,Berasa robot njirÃ°ÂŸÂ˜Â¥Ã°ÂŸÂ˜Â¥Ã°ÂŸÂ˜Â¥ (at RSUD Kota Bogor) Ã¢Â€Â” ,0.2,-0.1,Negative
1,Thu Dec 28 13:51:34 +0000 2017,"Dinas Kesehatan Kota Bogor Resmikan Puskesmas Inap, Lihat Foto-Fotonya  Bogor",0.0,0.0,Neutral
2,Wed Feb 01 13:00:52 +0000 2017,Sekda Kota Bogor: RS Yang Bekerja Sama Dengan BPJS Wajib Menerima Pasien BPJS ,0.0,0.0,Neutral
3,Fri Jun 06 03:10:03 +0000 2014,"TribunNews: 64 Kelurahan di Kota Bogor, Rawan DBD ...  | infoindo",0.0,0.0,Neutral
4,Sat Apr 23 22:25:50 +0000 2016,"makasiih loooh udh di tengokin semalem n bikin perut gueÃ¢Â€Â¦ (w/ Debie, Dessy, &amp; 6 others at RSUD Kota Bogor) [pic] Ã¢Â€Â” ",0.06666666666666667,0.0,Neutral
5,Wed Jun 26 11:02:33 +0000 2013,Bogor Tim Verifikasi Kota Sehat Nasional Tinjau Kota Bogor: Tim Verifikasi Kota Sehat tingkat Nasional melakukan... ,0.5,0.5,Positive
6,Sat Sep 16 18:05:11 +0000 2017,Dinkes Kota Bogor waspadai peredaran obat PCC ,0.25,0.25,Positive
7,Thu Sep 18 05:34:51 +0000 2014,"Sakit Jiwa semua? "": Ahok Luruskan Wacana Pelarangan Pelat B di Kota Bogor  _btp""",0.2,-0.1,Negative
8,Fri Apr 04 02:30:26 +0000 2014,I'm at Kantor BPJS Kesehatan Bogor (Kota Bogor) ,0.0,0.0,Neutral
9,Fri Apr 18 01:07:26 +0000 2014,"TyoNews Kawasan Tanpa Rokok, Dinkes Gandeng MUI:  Dinas Kesehatan Kota Bogor, Jawa Barat, menggandeng a...  News",0.0,0.0,Neutral
10,Sat Nov 28 06:57:08 +0000 2020,"Wali Kota Bogor Bima Arya menegur RS UMMI yang merawat dan menjadi lokasiÃ‚Â swab testÃ‚Â Rizieq Syihab. Bima menilai, piÃ¢Â€Â¦ ",0.0,0.0,Neutral
11,Mon May 04 17:33:26 +0000 2015," Halo, bisa isi kuesioner saya ttg Kota Bogor berikut  semoga sehat &amp; selalu diberi kelancaran aktivitas",0.3666666666666667,0.3,Positive
12,Fri Jul 25 10:14:59 +0000 2014,LPSE Bogor Ã¢Â€Â“ Contoh Kontrak Pengadaan Barang dan Jasa Pemerintah untuk LPSE Kota Bogor: Rehabilitasi PuskesmasÃ¢Â€Â¦ ,0.0,0.0,Neutral
13,Mon Mar 10 05:57:08 +0000 2014,"Ratusan Karyawan RSJ Marzoeki Mahdi Demo: Ratusan karyawan PNS di Rumah Sakit Marzoeki Mahdi, Kota Bogor mengg... ",0.0,0.0,Neutral
14,Tue Apr 22 09:12:19 +0000 2014,"Wali Kota Bogor, Bima Arya Sugiarto, tengah sakit. Di waktu bersamaan, ia harus melantik Plt Kasatpol PP. Dari... ",0.49107142857142855,-0.35714285714285715,Negative
15,Tue Dec 15 08:02:04 +0000 2020,"Pasien Covid-19 Dirawat Terus Meningkat, Stok Tempat Tidur di RSUD Kota Bogor Menipis: Humas RSUD Kota Bogor, TaufiÃ¢Â€Â¦ ",0.18333333333333332,0.0,Neutral
16,Sat Apr 07 10:40:40 +0000 2018,Bima-Dedie Siap Tanggung Tunggakan BPJS Warga Kota Bogor -  ,0.5,0.2,Positive
17,Wed Aug 05 04:25:00 +0000 2020,"Dari hasil Evaluasi Rumah Sakit Rujukan, Pemkot Bogor telah meminta agar Pemprov Jabar mengevaluasi delapan rumah sÃ¢Â€Â¦ ",0.0,0.0,Neutral
18,Tue Sep 25 07:52:30 +0000 2018,Kegiatan Lokmin menuju Kelurahan yang  Lebih Sehat dan Maju di  Kel. Cibadak Kec. Tanah Sareal Kota BOGOR ,0.55,0.45,Positive
19,Mon Aug 31 14:11:42 +0000 2020,Pasien OTG di RSUD Kota Bogor akan dipindah ke Wisma Atlet. ,0.0,0.0,Neutral
20,Tue Mar 03 06:19:11 +0000 2015,Pelajar Kota Bogor Sambut Hari Gizi Nasional Dengan Berbagi Sembako ,0.9,0.8,Positive
21,Tue May 05 11:40:26 +0000 2015,Ini 3 Program Prioritas Dirut RSUD KotaÃ‚Â Bogor ,0.0,0.0,Neutral
22,Sat Feb 20 10:47:41 +0000 2016,Malam ini begadang di RSUD Kota Bogor. Temenin dong,0.6,-0.3,Negative
23,Sun Feb 03 23:00:38 +0000 2019,"Saat terjadi wabah  demam berdarah di kota Bogor, khususnya di Bogor Selatan, sahabat Kang Dadang IskandarD (KDI) tÃ¢Â€Â¦ ",1.0,0.0,Neutral
24,Sun Apr 08 02:00:55 +0000 2018,"Porda Jabar 2018, Kota Bogor Optimis Boyong Emas, Ketum PBI: Bukan Hal yang Sulit ",0.7,0.525,Positive
25,Fri Dec 11 15:17:07 +0000 2015,"Dinkes Bogor kampanyekan 1.000 hari pertama kehidupan: Dinas Kesehatan Kota Bogor, Jawa Barat, mengkampanyekan... ",0.3333333333333333,0.25,Positive
26,Thu May 21 06:30:12 +0000 2015,"Akhirnya ngeliat debay({}):* (with RaTu, Ad., and 3 others at RSUD Kota Bogor) Ã¢Â€Â” ",1.0,0.0,Neutral
27,Sun Nov 13 14:14:55 +0000 2016,buzzer Jalan sehat terbesar dalam sejarah Kota Bogor  antara,0.5,0.5,Positive
28,Wed Jul 27 00:05:34 +0000 2016,07.05 Lalin92FM - Pertigaan RSUD Kota Bogor kacau karena saling serobot. Mhn bantuan petugas.   ,0.375,-0.125,Negative
29,Fri Mar 04 07:10:53 +0000 2016,Nongkrong di depan RS tercinta dlu lahh.. HahaÃ°ÂŸÂ˜ÂÃ°ÂŸÂ˜Â (with Dwi at RSUD Kota Bogor) Ã¢Â€Â” ,0.6666666666666666,0.475,Positive
30,Thu Oct 30 00:42:57 +0000 2014,Lensa Nasional: Garuda KPP-RI Minta Walikota Copot Jabatan Kepala RSUD Kota Bogor: ,0.0,0.0,Neutral
31,Sun Dec 13 15:39:16 +0000 2015,Jalan Sehat HUT KORPRI Ke-44 Diikuti 3000 PNS Kota Bogor  ,0.5,0.5,Positive
32,Thu Nov 28 03:31:13 +0000 2019,Dinas Kesehatan Kota Bogor melalui Seksi Kesling dan Kesja menggelar pertemuan Verifikasi ODF yang diikuti oleh pesÃ¢Â€Â¦ ,0.0,0.0,Neutral
33,Wed Nov 18 05:42:03 +0000 2020,"Bogor,  - Presiden Joko Widodo melakukan inspeksi mendadak (sidak) ke sebuah puskesmas yangÃ¢Â€Â¦ ",0.0,0.0,Neutral
34,Mon May 08 03:03:09 +0000 2017,Dinkes Kota Bogor Periksa Kualitas Air PDAM Tirta Pakuan ,0.0,0.0,Neutral
35,Tue Apr 22 11:51:18 +0000 2014,"Diangkut Ambulans untuk Lantik Kasatpol PP, Bima Arya: Saya Kena DBD: Wali Kota Bogor Bima Arya Sugiarto melan... ",0.0,0.0,Neutral
36,Wed May 18 09:33:29 +0000 2016,RSUD Kota Bogor Siap Luncurkan Website     WeLoveBogor BogohKaBogor HJB534,0.5,0.2,Positive
37,Sat Dec 01 06:30:06 +0000 2018,"Radar Bogor : Bawa Obat Batuk Cair Buat Mabuk, Tiga Pelajar di Kota Bogor Diamankan BOGORÃ¢Â€Â“RADA  ",0.0,0.0,Neutral
38,Fri Jun 07 14:19:18 +0000 2013,Restoran Sehat IPB Hadir Di Kota Bogor | Antara Bogor : Portal Berita Kawasan Penyangga Ibu Kota ,0.5,0.5,Positive
39,Fri Jan 06 12:26:40 +0000 2017,merasakan dalam kondisi baik di Rsud Kota Bogor ,0.6000000000000001,0.7,Positive
40,Fri Oct 14 10:46:31 +0000 2016," mtsr Bogor malam ini evakuasi Renaldo zakaria(39,infeksi luka) di dada ke RSUD kota bogor SRbogor ",0.0,0.0,Neutral
41,Thu Aug 22 06:51:32 +0000 2019,Mall Pelayanan Publik Pertama di Jabar akan diresmikan (26/8/19)di Lippo Plaza Keboen Raya Kota Bogor. Ada 145 layaÃ¢Â€Â¦ ,0.19999999999999998,0.125,Positive
42,Mon Sep 07 01:23:13 +0000 2015,BismillahÃ°ÂŸÂ˜Â‡Ã°ÂŸÂ™ÂÃ°ÂŸÂ˜Â· (with ibu at RSUD Kota Bogor) Ã¢Â€Â” ,0.0,0.0,Neutral
43,Tue Apr 22 11:51:16 +0000 2014,"Diangkut Ambulans untuk Lantik Kasatpol PP, Bima Arya: Saya Kena DBD: Wali Kota Bogor Bima Arya Sugiarto melan... ",0.0,0.0,Neutral
44,Fri Jul 03 05:41:57 +0000 2015,Kesini lagi (at RSUD Kota Bogor) Ã¢Â€Â” ,0.0,0.0,Neutral
45,Sat Feb 06 03:52:38 +0000 2016,"Kasus DBD Meningkat, DPC PDI P Kota Bogor Foging di 43 Titik - Berita Kota Bogor  infobogorutara",0.0,0.0,Neutral
46,Fri Jan 02 09:34:23 +0000 2015,"Aku enggak sakit kok, cuma lg medical check up aja *curhat* *padahalgaadayangtanya* (at RSUD Kota Bogor) Ã¢Â€Â” ",0.42857142857142855,0.17857142857142858,Positive
47,Tue May 05 16:56:32 +0000 2015," Halo, bisa isi kuesioner saya ttg Kota Bogor berikut  semoga sehat &amp; diberi kelancaran aktivitas",0.3666666666666667,0.3,Positive
48,Thu Jan 19 16:00:23 +0000 2017,"Terapkan Semangat Memiliki dan Kedisiplinan, PNS Harus Jadi Motor Penggerak di RSUD Kota Bogor ",0.0,0.0,Neutral
49,Fri Dec 20 10:37:47 +0000 2019,Kontraktor masih memiliki waktu sekitar 7 hari untuk merampungkannya sesuai target jadwal yang sudah ditentukan. MaÃ¢Â€Â¦ ,0.4,0.1,Positive
50,Thu Nov 12 06:20:02 +0000 2020,Recheking Kesatuan Gerak PKK Banggga Kencana Kesehatan &amp; Posyandu tingkat Jawa Barat 2020 berlangsung dengan Via TeÃ¢Â€Â¦ ,0.0,0.0,Neutral
51,Tue Aug 05 13:08:15 +0000 2014,"Kabar gembira bagi warga Kota Bogor. Pasalnya, 7 Agustus akan memiliki Rumah Sakit Umum Daerah (RSUD) pertama.... ",0.4777777777777778,0.3333333333333333,Positive
52,Thu Nov 26 10:49:53 +0000 2020,  sejak kapan punya otorisasi analisis kesehatan? Emangnya kau dokter? Urus warga kota bogor aja.Ã¢Â€Â¦ ,0.0,0.0,Neutral
53,Tue May 17 14:21:15 +0000 2016,At RSUD Kota Bogor Ã¢Â€Â” ,0.0,0.0,Neutral
54,Sun Jun 09 02:33:44 +0000 2013, sehat jg.. gmn kota bogor? masih sering ujan?,0.5,0.5,Positive
55,Tue Jul 10 08:40:53 +0000 2018,Dinkes Kota Bogor Raih Sertifikat ISOÃ‚Â 9001:2015  ,0.0,0.0,Neutral
56,Mon Oct 02 09:00:02 +0000 2017,"Indomaret kembali mengadakan Posyandu bersama Milna di Indomaret Hybrid RE Martadinata, Kota Bogor, Seni (18/9)Ã¢Â€Â¦ ",0.0,0.0,Neutral
57,Mon Dec 31 17:16:35 +0000 2018,"Sebanyak 37,42 % penduduk kota Bogor pernah menjalani rawat inap (kesehatan) selama kurang dari 4 hari (BPS Kota Bogor 2015) CeritaBogor",0.2833333333333333,0.16666666666666669,Positive
58,Thu Aug 07 13:33:11 +0000 2014,"Setelah 30 Tahun, Kota Bogor Punya RSUD Sendiri: Setelah menunggu hampir 30 tahun, Kota Bogor akhirnya memiliki... ",1.0,0.3,Positive
59,Tue Jun 21 15:02:10 +0000 2016,Selamat menikmati craniotomy nonk....Ã°ÂŸÂ˜ÂÃ°ÂŸÂ˜ÂÃ°ÂŸÂ˜Â‚Ã°ÂŸÂ˜Â‚ (with Risna at OK RSUD Kota Bogor) Ã¢Â€Â” ,0.6666666666666666,0.21666666666666667,Positive
60,Fri Nov 23 23:18:46 +0000 2018,Sudah seharusnya angkutan umum di Kota Bogor adalah angkutan umum yang nyaman dan sehat tanpa asap rokok.Ã¢Â€Â¦ ,0.35833333333333334,0.225,Positive
61,Sat Feb 27 14:42:15 +0000 2016,"Ngalongok. Ã°ÂŸÂÂ¥ (with Adyasa, Dimas, and 9 others at RSUD Kota Bogor) Ã¢Â€Â” ",0.0,0.0,Neutral
62,Mon Aug 26 09:11:23 +0000 2019,"Senin 26 Agustus 2019, Pukul 12.30 Wib, Kapolsek Bogor Barat Kompol Sundarti SH, Silaturrahmi dgn Humas RSUD Kota BÃ¢Â€Â¦ ",0.06666666666666667,0.0,Neutral
63,Mon Dec 21 07:40:39 +0000 2020, Kasus RS Ummi Kota Bogor Diambil Alih Bareskrim Penyidikan kasus Rumah Sakit (RS  ,0.0,0.0,Neutral
64,Tue Oct 27 03:37:32 +0000 2015,Balitro (balai penelitian rempah dan obat) (at Kota Bogor) Ã¢Â€Â” ,0.1,-0.1,Negative
65,Sun May 26 05:25:36 +0000 2019,Kader Posyandu se-Kota Bogor didaftarkan BPJS Ketenagakerjaan - ANTARA News Megapolitan ,0.0,0.0,Neutral
66,Mon Dec 28 23:21:08 +0000 2015,"Pagiiiii,,, menganntuuukk sangaat...Ã°ÂŸÂ˜ÂµÃ°ÂŸÂ˜Â´Ã°ÂŸÂ˜Â´ (with Gustya at Kamar Bedah RSUD Kota Bogor) Ã¢Â€Â” ",1.0,-0.65,Negative
67,Thu Aug 22 02:48:16 +0000 2013,"Kangen ke Bogor hang out ( with bidan kece Room 5, Room 4 and Room 6 asrama 2Ã¢Â€Â¦ (at Curug Kota Bogor) [pic] Ã¢Â€Â” ",0.4,-0.25,Negative
68,Fri Aug 24 10:05:23 +0000 2018,"Dinyatakan Mubah, Dinkes Tetap Imbau Warga Kota Bogor Ikut VaksinÃ‚Â MR  ",0.0,0.0,Neutral
