,created_at,text,Subjectivity,Polarity,Sentiment
0,Mon Aug 03 01:52:31 +0000 2020,Salam sehat sobatkriskres berikut adalah update perkembangan penanggulangan krisis kesehatan bencana banjir bandanÃ¢Â€Â¦ ,0.3,0.25,Positive
1,Sun Mar 25 14:25:02 +0000 2018,"Baramang, petani kakao dari Desa Saluparemang Selatan, Kamanre, Kabupaten Luwu, Sulsel. Berkat ketekunan, ia mampuÃ¢Â€Â¦ ",0.4125,0.35,Positive
2,Fri Jul 03 14:11:23 +0000 2015,Tim Terpadu Di Lutra Temukan Bumbu Kue Kadaluarsa:  Tim Terpadu Pengawas Obat dan Makanan (POM) Kabupaten Luwu... ,0.0,0.0,Neutral
3,Wed Feb 08 18:24:59 +0000 2017,Daftar Puskesmas di Kabupaten Luwu Provinsi Sulawesi Selatan ,0.0,0.0,Neutral
4,Mon Sep 24 04:00:54 +0000 2018,Sembilan PPL dan 76 Bidan di Luwu Utara Terima SK PNS 100 Persen MasambaÃ‚Â --- Sembilan Penyuluh Pertanian LapanganÃ¢Â€Â¦ ,0.0,0.0,Neutral
5,Fri Oct 11 10:56:56 +0000 2019,"Anak umur tiga tahun dari Kabupaten Luwu Utara,(Sulsel meninggal dengan usus keluar usai dirawat di rumah sakit. MuÃ¢Â€Â¦ ",0.2,0.1,Positive
6,Sun Feb 05 21:16:50 +0000 2017,"Info Lengkap Apotek di Kabupaten Luwu Utara Provinsi Sulawesi Selatan Republik Indonesia, Valid dan Reliable ",0.4,0.1,Positive
7,Sat Sep 17 04:50:52 +0000 2016,Puskesmas Wasuponda Kabupaten Luwu Timur adakan klinik kesehatan olahraga dan pengendalianÃ¢Â€Â¦  ,0.0,0.0,Neutral
8,Sun May 10 09:28:29 +0000 2020,"Peduli Tenaga Medis, IDI Bagi APD ke Rumah Sakit dan Klinik se Kabupaten Luwu ",0.0,0.0,Neutral
9,Tue Apr 28 21:23:37 +0000 2020,"Seorang perawat di Kabupaten Luwu Timur, dinyatakan positif terinfeksi virus Corona (COVID-19). Ia dinyatakan positÃ¢Â€Â¦ ",0.5454545454545454,0.22727272727272727,Positive
10,Mon Jun 29 08:05:09 +0000 2020,"UPOS, Luwu TimurÃ‚Â Ã¢Â€Â“ Dalam rangka menjamin agar seluruh masyarakat Kabupaten Luwu Timur memiliki akses Jaminan KesehaÃ¢Â€Â¦ ",0.0,0.0,Neutral
11,Tue Sep 23 09:45:57 +0000 2014,LokerMks PERAWAT PELAKSANA - IV - CPNS-PEMERINTAH KABUPATEN LUWU TIMUR ,0.0,0.0,Neutral
12,Wed Aug 08 12:13:39 +0000 2018,Ini Manfaat Penting Vaksin MR Menurut Dinkes Kabupaten Luwu ,1.0,0.4,Positive
13,Tue Sep 30 10:02:46 +0000 2014,Sebanyak 16 orang bendahara puskesmas di Kabupaten Luwu telah diperiksa oleh Kejaksaan Negeri (Kejari) Belopa... ,0.75,0.0,Neutral
14,Sat Sep 17 04:57:23 +0000 2016,Puskesmas Wasuponda Kabupaten Luwu Timur adakan klinik kesehatan olahraga dan pengendalianÃ¢Â€Â¦  ,0.0,0.0,Neutral
15,Thu May 31 08:51:57 +0000 2018,Pemerintah Kabupaten Luwu Timur terus menunjukkan komitmennya dalam mewujudkan Good Goverment utamanya dalam pelayaÃ¢Â€Â¦ ,0.8,0.35,Positive
16,Wed Feb 01 00:52:23 +0000 2017,"Data Resmi Rumah Sakit di Kabupaten Luwu Provinsi Sulawesi Selatan Republik Indonesia, Lengkap dan Valid ",0.4,0.1,Positive
17,Fri Dec 07 12:45:07 +0000 2018," contoh pak, di Kabupaten Luwu, Sulawesi Selatan, formasi Guru K2 : 117 orang, yg ikut seleksi cuma 83 org,Ã¢Â€Â¦ ",1.0,0.0,Neutral
18,Tue Jul 24 10:50:53 +0000 2018,"Dalam rangka meningkatkan pelayanan kesehatan kepada masyarakat, ribuan siswa sekolah TK dan PAUD di Kabupaten LuwuÃ¢Â€Â¦ ",0.3,0.1,Positive
19,Wed Oct 09 01:31:30 +0000 2019,"Bupati Luwu Utara Indah Putri Indriani menghadiri distribusi bantuan (Ayam, pakan, Obat-obatan) Kegiatan BEKERJA (BÃ¢Â€Â¦ ",0.95,-0.6,Negative
20,Tue Feb 07 00:53:47 +0000 2017,"Data Resmi Rumah Sakit di Kabupaten Luwu Provinsi Sulawesi Selatan Republik Indonesia, Lengkap dan Valid ",0.4,0.1,Positive
