,created_at,text,Subjectivity,Polarity,Sentiment
0,Tue Jul 14 06:01:38 +0000 2020,"Kota Manado yang ku cintai Kita nyanda mo lupa..,HBD Kota Manado.., Semoga semakin lebih sehat, lebih maju, lebihÃ¢Â€Â¦ ",0.575,0.475,Positive
1,Thu Feb 07 14:24:19 +0000 2019,"DBD Makan Korban, Perindo Giatkan Fogging di Kota Manado ",0.0,0.0,Neutral
2,Fri Aug 16 14:51:25 +0000 2013,"Segera Hadir di Kota Manado ""Kursus Estetika All In One"" (Super Lengkap) Ã‚Â¤ Materi Dokter &amp; Kalangan Umum... ",0.37777777777777777,0.14444444444444446,Positive
3,Fri Feb 03 15:50:38 +0000 2017,"Data Resmi Rumah Sakit di Kota Manado Provinsi Sulawesi Utara Republik Indonesia, Lengkap dan Valid ",0.4,0.1,Positive
4,Fri Jan 27 15:23:38 +0000 2017,"Data Resmi Puskesmas di Kota Manado Provinsi Sulawesi Utara Republik Indonesia,  lengkapseluruhpublichealthservice",0.0,0.0,Neutral
5,Thu Feb 15 07:07:02 +0000 2018,Cara Menghilangkan Bau Mulut Dengan Obat Kumur Joypolinse | Agen Di KotaÃ‚Â Manado  ,0.0,0.0,Neutral
6,Mon Mar 11 06:29:36 +0000 2013,Timsel KPU Sulut Dinilai Tidak Ã¢Â€ÂœBerakal SehatÃ¢Â€Â  via ,0.5,0.5,Positive
7,Fri Jul 05 08:39:13 +0000 2013,"Tmn"" bsk ada month jalan sehat, jam 5 so dimka IT, dlm rangka Hut kota manado, smua harus hadir karna mo absen. Pke bju olahrga cln jeans.",0.5,0.5,Positive
8,Sat Jan 26 06:23:37 +0000 2013,Kecamatan Malalayang catat kasus demam berdarah tertinggi di kota Manado.,0.0,0.0,Neutral
9,Thu Oct 30 01:05:11 +0000 2014,Dinkes Tindaklanjuti Kasus Keracunan Wakil Wali Kota Manado: Mottoh memastikan tidak ada efek jangka panja...  fb,0.0,0.0,Neutral
10,Wed Oct 29 05:50:30 +0000 2014,"Hut ke-39, Wawali Manado  Terbaring sakit: Mendapat ribuan ucapan selamat ulang tahun dari warga Kota Manado, ... ",1.0,0.15000000000000002,Positive
11,Sun Jan 21 05:08:41 +0000 2018,Bisnis Online Dokter Di Kota Manado  ,0.0,0.0,Neutral
12,Wed May 01 04:08:26 +0000 2019,"Memperingati Hari Buruh Internasional 1 Mei 2019 dengan Tema MAY DAY, TOGETHER WE GROW Yang bertempat di God BlessÃ¢Â€Â¦ ",0.0,0.0,Neutral
13,Wed Feb 06 08:16:14 +0000 2019,"Banjir Kota Manado, Pemkab Boltim Terus Lakukan Bantuan Kesehatan Gratis -  ",0.8,0.4,Positive
14,Sun Jul 22 08:33:24 +0000 2018,"Balai Besar Pengawasan Obat dan Makanan (BBPOM) Kota Manado, Sulawesi Utara menyita ribuan produk kosmetik ilegal dÃ¢Â€Â¦ ",0.3,-0.3,Negative
15,Sat Dec 24 07:33:55 +0000 2016,Yeayyy.... ketemu ibu dokter kebanggaan kota Manado Ã°ÂŸÂ˜ÂœÃ°ÂŸÂ˜Â¬... Kenzo kwa masihÃ¢Â€Â¦ (w/ rillya at ) [pic] Ã¢Â€Â” ,0.65,0.5,Positive
16,Fri Mar 15 14:00:00 +0000 2019,"Nggak mau lagi lihat warga ketakutan karena nyamuk DBD, Caleg Perindo Robert Tambuwun asapi Kota Manado.Ã¢Â€Â¦ ",0.0,0.0,Neutral
17,Tue Feb 19 19:36:53 +0000 2013,95 Orang Menderita Sakit di Posko Pengungsian Termasuk Balita ,0.0,0.0,Neutral
18,Wed Nov 04 04:30:32 +0000 2015,Sosialisasi BPJS bersama Disnaker Manado Ã°ÂŸÂ™Â‹Ã°ÂŸÂÂ¼Ã°ÂŸÂ™Â‡Ã°ÂŸÂÂ¼ (at Dinas Tenaga Kerja Kota Manado) [pic] Ã¢Â€Â” ,0.0,0.0,Neutral
19,Fri Dec 11 13:45:02 +0000 2020,"Anyone, siapa yg punya law of the jungle kota manado pas ep. Jin sakit? Antara ep 249-251  Sampe capek nyari ga nemu2Ã°ÂŸÂ˜Â­",0.7785714285714285,-0.5571428571428572,Negative
20,Sat Jan 17 02:21:09 +0000 2015,"Warga Manado yang Belum Tercover Jaminan Kesehatan, Tetap Dijamin!: Pemerintah Kota Manado, Sulawesi Utara, ma... ",0.0,0.0,Neutral
