,created_at,text,Subjectivity,Polarity,Sentiment
0,Fri Apr 03 08:30:02 +0000 2015,berita Kepada Dinas kesehatan Kota Pekanbaru Helda S Munir mengaku tidak bisa berbuat banyak terkait keberadaan ,0.2,0.2,Positive
1,Mon Sep 09 04:02:35 +0000 2019,"Kabut asap sangat pekat menyelimuti Kota Pekanbaru. Kabut asap ini sangat mengganggu pernafasan, karena udara sudahÃ¢Â€Â¦ ",0.80875,-0.45500000000000007,Negative
2,Wed Jan 10 11:09:08 +0000 2018, 3 Dokter RSUD Pekanbaru jadi Tersangka: Kabarriau com Pekanbaru amp nbsp Kepolisian Resor KÃ¢Â€Â¦ ,0.0,0.0,Neutral
3,Mon Apr 29 15:07:27 +0000 2013,"Dokter gigi yg bagus dan murah di kota pekanbaru dimana yah, info donk  _DURI",0.65,0.55,Positive
4,Sun Oct 02 12:30:38 +0000 2016,"PEKANBARU - Capaian indeks pembangunan manusia (IPM) tahun 2015 Kota Pekanbaru sebesar 79,32. Angka tersebut ... ",0.1,0.0,Neutral
5,Tue Mar 11 23:06:35 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Bi... ",0.0,0.0,Neutral
6,Fri Apr 22 18:42:38 +0000 2016,Pemko Pekanbaru Miliki Puskesmas Wisata:  PEKANBARU - Pemerintah Kota Pekanbaru di bawah kepemimpinan Walikot... ,0.0,0.0,Neutral
7,Tue Mar 11 21:57:36 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Bi... ",0.0,0.0,Neutral
8,Mon Feb 10 03:35:05 +0000 2014,"Antisipasi Kabut Asap, Dinkes Pekanbaru Bagikan 3.500 Masker: DINKES Kota Pekanbaru membagikan sekitar 3.500 m... ",0.0,0.0,Neutral
9,Mon Jul 15 08:49:37 +0000 2019,10 Penyakit Yang Diakibatkan Gaya Hidup Tak Sehat ,0.7,-0.4,Negative
