,created_at,text,Subjectivity,Polarity,Sentiment
0,Mon Jul 27 00:28:11 +0000 2015,"indonesia  Sejumlah warga di Kelurahan Abepantai, Distrik Abepura, Kota Jayapura, Papua...  Trend ",0.0,0.0,Neutral
1,Sun Sep 09 04:48:19 +0000 2018,"I'm at PMI RSUD Dok II | Unit Transfusi Darah Kota Jayapura in Kota Jayapura, Papua ",0.0,0.0,Neutral
2,Wed Sep 24 14:00:51 +0000 2014,Dinkes Kota Jayapura Tuntas Bagi KelambuÃ‚Â Malaria ,0.4,0.1,Positive
3,Wed May 10 03:54:43 +0000 2017,"Penyerahan Kartu Indonesia Sehat oleh Presiden RI di Distrik Muara Tami, Kota Jayapura, Papua JKN KIS ",0.5,0.5,Positive
4,Thu Nov 01 19:06:55 +0000 2018,RSUD Dok II _Jayapura ,0.0,0.0,Neutral
5,Mon Mar 05 08:23:01 +0000 2018, :  Meredam Penyebaran Difteri di Kota Jayapura: Disepakati bahwa dokterÃ¢Â€Â¦ ,0.0,0.0,Neutral
6,Sun Jun 12 11:19:08 +0000 2016,Dinkes Kota Jayapura Gandeng IPK Gelar Bakti Sosial di Kampung Moso  ,0.06666666666666667,0.03333333333333333,Positive
7,Sat Jun 13 12:52:09 +0000 2015,Dinkes Kota Jayapura Gandeng PKR Kantongi Daerah Penyebaran HIV/AIDS ,0.0,0.0,Neutral
8,Tue Nov 03 06:26:15 +0000 2020,"Usai menyerahkan dokumen pelaksanaan perubahan anggaran Tahun 2020, Walikota Jayapura menyampaikan mulai  3 NovembeÃ¢Â€Â¦ ",0.1,0.0,Neutral
9,Tue Jul 07 14:02:37 +0000 2015,Kondisi Puskesmas Pembantu Skou Distrik Muara Tami Kota Jayapura  lewat ,0.1,-0.1,Negative
10,Sat Jan 28 03:01:41 +0000 2017,"Data Resmi Rumah Sakit di Kota Jayapura Provinsi Papua Republik Indonesia, Lengkap dan Valid ",0.4,0.1,Positive
11,Fri Mar 29 23:40:09 +0000 2019,"Namsan Wani...Hari ini merupakan hari bahagia oleh kita warga kota Jayapura, karena hari ini pemimpin kita yaitu AIÃ¢Â€Â¦ ",1.0,0.8,Positive
12,Sat Apr 01 13:38:11 +0000 2017,Dinkes Kota Jayapura Dorong 13 Puskesmas Terakreditasi ,0.0,0.0,Neutral
13,Wed Oct 29 02:43:14 +0000 2014,KaDinKes Kota Jayapura dokter Dolarina tengah memberikan materi PHBS kepada peserta pelatihan dokter kecil. ,0.4,-0.25,Negative
14,Thu Sep 10 13:37:39 +0000 2015,"Empat puskesmas di Jayapura terima penghargaan: Sebanyak empat Puskesmas di Kota Jayapura, Provinsi Papua mene... ",0.75,0.0,Neutral
15,Wed Feb 08 07:19:04 +0000 2017,"Data Resmi Rumah Sakit di Kota Jayapura Provinsi Papua Republik Indonesia, Lengkap dan Valid ",0.4,0.1,Positive
16,Sat Jan 12 08:20:20 +0000 2019,Harga Obat Penis Keluar Cairan Nanah Ampuh Di Apotik Kota Jayapura ,0.5,0.5,Positive
17,Mon Sep 01 05:19:32 +0000 2014,Menuju Puskesmas ISO/Akreditasi di Kota Jayapura ,0.1,-0.1,Negative
18,Fri Jun 13 20:50:07 +0000 2014,"Jayapura, MAJALAH SELANGKAH -- Kepala Dinas Kesehatan Kota Jayapura, dr. Dolarina de Breving mengatakan,... ",0.0,0.0,Neutral
19,Mon May 14 04:35:01 +0000 2018,Dinkes Kota Jayapura: penderita malaria terbanyak di Skouw ,0.5,0.5,Positive
20,Sat Sep 20 21:26:16 +0000 2014,Pertemuan Kordinasi Dinkes Kesehatan Kab. Keerom bersama SR Kota Jayapura dan SSR Kab. Keerom ( SUmber : SSR KDP... ,0.0,0.0,Neutral
21,Mon Jul 27 00:02:50 +0000 2015,"VenzTime Sejumlah warga di Kelurahan Abepantai, Distrik Abepura, Kota Jayapura, Papua, meminta kepada Dinas K... ",0.0,0.0,Neutral
22,Fri Sep 26 12:31:04 +0000 2014,"Jayapura, MAJALAH SELANGKAH -- Sebagian warga Kelurahan Abe Pantai, Distrik Abepura, Kota Jayapura Papua... ",0.0,0.0,Neutral
23,Fri Sep 30 19:16:48 +0000 2016,Berita baru Dinkes Kota Jayapura Inginkan Pemprov Papua Terapkan Program Gerbangmas Hasrat  PapuaUntukSemua,0.2772727272727273,0.16818181818181818,Positive
24,Mon Apr 29 08:25:44 +0000 2013,"Dana Jamkespa di RSUD Abepura Meningkat Rp3 Miliar: RSUD Abepura, Kota Jayapura, Papua, mengklaim, setiap tahu... ",0.0,0.0,Neutral
25,Sat Jan 19 14:03:32 +0000 2019,Berantas Malaria Bersama Perindo Kota Jayapura ,0.0,0.0,Neutral
26,Wed Jul 23 07:00:28 +0000 2014,kesehatan adalah budaya hidup sehat. Penyakit adalah meninggalkan budaya hidup sehat.  _NTT  _Jayapura,0.5,0.5,Positive
27,Sat Jan 12 08:45:59 +0000 2019,Jual Obat Penis Keluar Cairan Nanah Ampuh Di Apotik Kota Jayapura  created,0.5,0.5,Positive
28,Sun Jan 29 15:54:28 +0000 2017,"Data Resmi Puskesmas di Kota Jayapura Provinsi Papua Republik Indonesia, Lengkap dan Reliable ",0.4,0.1,Positive
29,Sun Jun 08 06:33:12 +0000 2014,"Dinkes Kota Jayapura Tekad Tekan Angka TBC - Jayapura, MAJALAH SELANGKAH -- Pemerintah Kota Jayapura, Provinsi Pap... ",0.0,0.0,Neutral
30,Wed Mar 16 15:32:50 +0000 2016,"Pelaksanaan PIN Kota Jayapura Capai 76,9 Persen: Jayapura, Jubi Ã¢Â€Â“ Pencapaian pelaksanaan Pekan Imunisasi Nasio... ",0.0,0.0,Neutral
31,Tue Nov 18 10:17:59 +0000 2014,Reportase Hari Pertama: Pelatihan Teknik Komunikasi Puskesmas Kota Jayapura ,0.0,0.0,Neutral
32,Thu Aug 01 00:02:09 +0000 2019,Twittizen Shared: Dinkes Kota Jayapura Ungkap Temuan 6.765 Kasus HIV/AIDS  ,0.0,0.0,Neutral
33,Sun Feb 17 09:24:49 +0000 2019,"Pengelola Rumah Sakit Jiwa Abepura, Kota Jayapura, menyediakan dana untuk antar jemput pasien sakit jiwa. ",0.2,-0.1,Negative
34,Sat Feb 03 03:33:56 +0000 2018,"Selamatkan warga dari serangan nyamuk DBD dan Malaria, Rescue Perindo  mengasapi lebih dari 200 rumah di kota JayapÃ¢Â€Â¦ ",0.5,0.5,Positive
35,Sun Oct 15 13:42:47 +0000 2017,"Yoka Dipilih jadi "" Kampung Sadar BPJS Ketenagakerjaan Kota Jayapura "" - Berita Harian Teratas.",0.25,0.25,Positive
36,Wed Jul 11 09:25:46 +0000 2018,Upaya Dinas Kesehatan Kota Jayapura Turunkan Angka PenderitaÃ‚Â Malaria  ,0.0,0.0,Neutral
37,Mon Jun 29 09:06:05 +0000 2020,Papua Puskesmas di Kota Jayapura diminta tingkatkan pelayanan  ,0.0,0.0,Neutral
38,Sat Jun 13 12:06:02 +0000 2015,Dinkes Kota Jayapura Gandeng PKR Kantongi Daerah Penyebaran HIV/AIDS  Papua,0.0,0.0,Neutral
39,Mon Dec 09 04:16:21 +0000 2019,Gays...pelayanan MCS di Puskesmas Koya Barat Kota Jayapura ini...salah satu kegiatan Jemput Bola...dari BPJS KesehaÃ¢Â€Â¦ ,0.1,-0.1,Negative
40,Fri Dec 11 07:50:27 +0000 2020,"Walikota Jayapura Benhur Tommy Mano memimpin rapat evaluasi bersama Kepala Dinkes Kota Jayapura, Direktur, Kabid ,Ã¢Â€Â¦ ",0.0,0.0,Neutral
41,Mon Jul 27 00:18:40 +0000 2015,"Sejumlah warga di Kelurahan Abepantai, Distrik Abepura, Kota Jayapura, Papua, meminta kepada Dinas Kesehatan s... ",0.0,0.0,Neutral
42,Mon Jul 17 06:37:00 +0000 2017,Pemerintah Kota Jayapura akan Bangun Dua UnitÃ‚Â Puskesmas  ,0.0,0.0,Neutral
43,Sun Apr 01 10:37:15 +0000 2018,"FitNews Dinkes provinsi Papua mulai fokus menata lokasi pembangunan perumahan kesehatan di kampung holtekam, dusunÃ¢Â€Â¦ ",0.0,0.0,Neutral
44,Mon Jan 21 01:36:17 +0000 2013,"Koko  ÃŽÂ°ÃÂ‘Ã‚ÂªÃÂ½ sehat? Kangen liatin koko tampil lagi nih. Cepat sembuh koko, biar bisa ikut maen ke _Jayapura (Ã‹Â‡ÃŠÂƒÃ†ÂªÃ‹Â‡)",0.5,0.5,Positive
