created_at,text,tweet_en
Fri Aug 12 07:47:35 +0000 2016,Berasa robot njirÃ°ÂŸÂ˜Â¥Ã°ÂŸÂ˜Â¥Ã°ÂŸÂ˜Â¥ (at RSUD Kota Bogor) Ã¢Â€Â” https://t.co/02maaAYNtn,Feeling robotic njirÃ ° ÂŸÂ˜Â ¥ Ã ° ÂŸÂ˜Â ¥ Ã ° ÂŸÂ˜Â ¥ (at Bogor City Hospital) Ã ¢ Â € Â ”https://t.co/02maaAYNtn
Thu Dec 28 13:51:34 +0000 2017,"Dinas Kesehatan Kota Bogor Resmikan Puskesmas Inap, Lihat Foto-Fotonya https://t.co/M8SoQZfogf #Bogor","Bogor City Health Office Inaugurates Inap Puskesmas, See the Photos https://t.co/M8SoQZfogf #Bogor"
Wed Feb 01 13:00:52 +0000 2017,Sekda Kota Bogor: RS Yang Bekerja Sama Dengan BPJS Wajib Menerima Pasien BPJS https://t.co/brzXqnsWrO,Regional Secretary of Bogor City: Hospitals in Collaboration with BPJS Must Receive BPJS Patients https://t.co/brzXqnsWrO
Fri Jun 06 03:10:03 +0000 2014,"RT TribunNews: 64 Kelurahan di Kota Bogor, Rawan DBD ... http://t.co/kMCrk97bEc | #infoindo","RT TribunNews: 64 Kelurahan in Bogor City, Prone to DHF ... http://t.co/kMCrk97bEc | #infoindo"
Sat Apr 23 22:25:50 +0000 2016,"makasiih loooh udh di tengokin semalem n bikin perut gueÃ¢Â€Â¦ (w/ Debie, Dessy, &amp; 6 others at RSUD Kota Bogor) [pic] Ã¢Â€Â” https://t.co/iQDXbJGwic","Thank you, I have seen you last night and made my stomachÃ ¢ Â € Â¦ (w / Debie, Dessy, & amp; 6 others at Bogor City Hospital) [pic] Ã ¢ Â € Â ”https://t.co/iQDXbJGwic"
Wed Jun 26 11:02:33 +0000 2013,#Bogor Tim Verifikasi Kota Sehat Nasional Tinjau Kota Bogor: Tim Verifikasi Kota Sehat tingkat Nasional melakukan... http://t.co/pC6XrUuKIw,#Bogor National Healthy City Verification Team Visits Bogor City: The National Healthy City Verification Team conducts ... http://t.co/pC6XrUuKIw
Sat Sep 16 18:05:11 +0000 2017,Dinkes Kota Bogor waspadai peredaran obat PCC https://t.co/mAmn9uAArp,The Bogor City Health Office is aware of the circulation of PCC drugs https://t.co/mAmn9uAArp
Thu Sep 18 05:34:51 +0000 2014,"Sakit Jiwa semua? ""@VIVAnews: Ahok Luruskan Wacana Pelarangan Pelat B di Kota Bogor http://t.co/SbvlsNwevL @basuki_btp""","Mental illness all? ""@VIVAnews: Ahok Straighten Discourse on the Prohibition of Plate B in Bogor City http://t.co/SbvlsNwevL @basuki_btp"""
Fri Apr 04 02:30:26 +0000 2014,I'm at Kantor BPJS Kesehatan Bogor (Kota Bogor) http://t.co/6qoyGwQT8o,I'm at the Bogor BPJS Health Office (Bogor City) http://t.co/6qoyGwQT8o
Fri Apr 18 01:07:26 +0000 2014,"#TyoNews Kawasan Tanpa Rokok, Dinkes Gandeng MUI:  Dinas Kesehatan Kota Bogor, Jawa Barat, menggandeng a... http://t.co/op1rzEeyEh #News","#TyoNews No Smoking Area, Health Office Collaborates with MUI: Bogor City Health Office, West Java, collaborates with ... http://t.co/op1rzEeyEh #News"
