created_at,text,tweet_en
Fri Jan 27 14:55:22 +0000 2017,Data Resmi Puskesmas di Kota Palembang Provinsi Sumatera Selatan Republik Indon https://t.co/lD7lIqtp9N #lengkapseluruhpublichealthservice,"Official Data of Puskesmas in Palembang City, South Sumatra Province, Republic of Indon https://t.co/lD7lIqtp9N #l Lengkapseluruhpublichealthservice"
Mon Aug 11 07:57:11 +0000 2014,"Dinkes imbau pedagang jual makanan sehat: Dinas Kesehatan Kota Palembang, Sumatera Selatan mengi... http://t.co/A7X7JA3PwS @infosumatera","Health Office urges merchants to sell healthy food: Palembang City Health Office, South Sumatra wheezes ... http://t.co/A7X7JA3PwS @infosumatera"
Mon Jun 15 08:30:28 +0000 2020,"Warga di komplek Bumi Sako Damai Kota Palembang, Sumatera Selatan, berinisiatif membentuk 'Kampung Tangkal Covid-19Ã¢Â€Â¦ https://t.co/j0jvEwPfmh","Residents in the Bumi Sako Damai complex in Palembang City, South Sumatra, took the initiative to form a 'Covid-19 Tangkal Village' https://t.co/j0jvEwPfmh"
Mon Mar 07 09:47:35 +0000 2016,Status Terakhir di WA Dokter Cantik Asal Balikpapan yang Hilang ... - Banjarmasin Post https://t.co/VciE2hG64L #infoBPN,"The last status in WA, a beautiful doctor from Balikpapan who is missing ... - Banjarmasin Post https://t.co/VciE2hG64L #infoBPN"
Fri Jun 21 12:27:10 +0000 2019,"Assalamu'alaikum SanakDulur DPPKB, Hari Jumat (21/6), Jajaran PNS dan Non PNSD melakukan senam pagi bersama di HalaÃ¢Â€Â¦ https://t.co/xDkQZT773t","Assalamu'alaikum SanakDulur DPPKB, Friday (21/6), ranks of PNS and Non PNSD do morning exercises together at HalaÃ ¢ Â € Â¦ https://t.co/xDkQZT773t"
Mon May 13 03:33:14 +0000 2019,"Diskusi Wong Kito ""Stabilitas Harga Pangan dan Makanan Sehat"" selama Bulan Puasa di Taman Seberang TVRI, Senin, 13Ã¢Â€Â¦ https://t.co/vdHmrzA1Z9","Wong Kito's discussion on ""Food Price Stability and Healthy Food"" during the Fasting Month at the TVRI Opposite Park, Monday, 13Ã ¢ Â € Â¦ https://t.co/vdHmrzA1Z9"
Tue Feb 10 07:04:33 +0000 2015,"Sumsel - Tak Profesional, Rumah Sakit Berurusan Dengan DPRD Kota Palembang: Pengaduan masyarakat dan ketidakpu... http://t.co/jR8qRVbO4L","South Sumatra - Unprofessional, Hospital Dealing With Palembang City DPRD: Public complaints and dissatisfaction ... http://t.co/jR8qRVbO4L"
Wed May 14 08:17:11 +0000 2014,"@fkump09 kpd rotasi IKM/IKK yg berikutnya.rotasi dimulai senin,19mei pkl.8:00.pengarahan di Dinkes Kota Palembang.","@ fkump09 to the next IKM / IKK rotation. The rotation starts Monday, 19 May at 8:00 am. briefing at the Health Office of Palembang City."
Mon Oct 13 10:08:25 +0000 2014,Udara di Kota Palembang berada pd level tdk sehat akibat kabut asap #NET17 http://t.co/6HZTo4BbPX,The air in Palembang City is at an unsanitary level due to smog # NET17 http://t.co/6HZTo4BbPX
Fri May 09 09:51:35 +0000 2014,#News Puskesmas Palembang wajibkan calon haji vaksin influenza: Lima Puskesmas di Kota Palembang yang ditugask... http://t.co/AMQDC52zhN,#News Puskesmas Palembang obliges candidates for influenza vaccine pilgrimage: Five Puskesmas in Palembang are tasked with ... http://t.co/AMQDC52zhN
Thu Jul 17 09:23:22 +0000 2014,"Mengaku Sakit, Istri Muda Wali Kota Palembang Batal Diperiksa: Pemeriksaan terhadap Liza dijadwal ulang ... http://t.co/eQN3XSs8ve #news","Confessing to be sick, the young wife of the mayor of Palembang City cancels Examination: Examination of Liza rescheduled ... http://t.co/eQN3XSs8ve #news"
Tue Jan 16 05:49:25 +0000 2018,"Palembang Gelar Rakor Cegah Wabah Difteri Untuk mencegah wabah penyakit difteri di Kota Palembang, Dinas... https://t.co/MtGnbELPr2","Palembang Holds Coordination Meeting to Prevent Diphtheria Outbreak To prevent diphtheria outbreaks in Palembang City, Dinas ... https://t.co/MtGnbELPr2"
