created_at,text,tweet_en
Thu Jul 09 10:40:34 +0000 2020,"Plt. Puskesmas Telaga Murni Gandatua Ariston Siregar mengatakan, alat swab test yang disediakan sebanyak 120 buah.Ã¢Â€Â¦ https://t.co/jex8RjVKVd","Plt. Telaga Murni Puskesmas Gandatua Ariston Siregar said, there are 120 swab test kits provided. Ã ¢ Â € Â¦ https://t.co/jex8RjVKVd"
Tue May 28 03:12:47 +0000 2019,Ruang Thalasemia dan Bank Darah RSUD Kabupaten Bekasi https://t.co/D4ohzkTqzy,Thalassemia Room and Blood Bank Bekasi District Hospital https://t.co/D4ohzkTqzy
Fri Feb 05 11:30:47 +0000 2016,"Sejak Awal 2016, 7 Orang Meninggal Akibat DBD di Kabupaten Bekasi https://t.co/jNLm0RsCo7","Since the beginning of 2016, 7 people have died due to dengue fever in Bekasi Regency https://t.co/jNLm0RsCo7"
Wed Jun 10 03:15:05 +0000 2020,"Ungkap Angka Kehamilan Kabupaten Bekasi saat Wabah Corona, Dinkes: Ada Penurunan https://t.co/Twzce2izVL","Revealing Pregnancy Rate in Bekasi Regency during Corona Outbreak, Health Office: Decrease https://t.co/Twzce2izVL"
Wed Feb 18 07:44:38 +0000 2015,Terbaru:BREAKING NEWS: Mantan Dirut RSUD Kabupaten Bekasi Terjerat Korupsi http://t.co/P5O5JK0iFA #wartakota,Latest: BREAKING NEWS: Former Managing Director of Bekasi District Regional Hospital entangled in corruption http://t.co/P5O5JK0iFA #wartakota
Sat Oct 20 02:17:18 +0000 2018,"Terkait Defisit BPJS Kesehatan, Ketua DPD Jamkeswatch Kabupaten Bekasi Sampaikan Surat TerbukaÃ¢Â€Â¦ https://t.co/6Qy2Ep5czv","Regarding the BPJS Health Deficit, the Chairperson of the Bekasi District Jamkeswatch DPD Conveys an Open LetterÃ ¢ Â € Â¦ https://t.co/6Qy2Ep5czv"
Tue Jul 23 02:01:57 +0000 2019,"Posyandu Mekar Murni 1 Kecamatan Sukakarya, Wakili Lomba Posyandu Tingkat Kabupaten Bekasi https://t.co/lODssgz73T","Posyandu Mekar Murni 1 Sukakarya District, representing the Bekasi District Level Posyandu Competition https://t.co/lODssgz73T"
Tue Oct 21 06:40:00 +0000 2014,3 | Warta Warga Kirana RW 023 -- -- Daftrar Rumah Sakit di Kabupaten Bekasi http://t.co/huqUBoko2j,3 | Warta Warga Kirana RW 023 - - List of Hospitals in Bekasi Regency http://t.co/huqUBoko2j
Tue Jun 09 10:42:14 +0000 2015,Dokter Sampai Tukang Tambal Ban Disiapkan di Pos Kedungwaringin untuk Pemudik: Polresta Kabupaten Bekasi beser... http://t.co/mNNe6xs58R,Doctors Until Tires Patchworkers Prepared at Kedungwaringin Post for Homecomers: Bekasi District Police are beser ... http://t.co/mNNe6xs58R
Mon May 28 12:29:57 +0000 2018,Kabupaten Bekasi Raih Penghargaan UHC JKN-KIS 2018 https://t.co/WLTxPDEELr https://t.co/AViQ0TACfk,Bekasi Regency Wins UHC JKN-KIS 2018 Award https://t.co/WLTxPDEELr https://t.co/AViQ0TACfk
Tue Oct 07 14:27:08 +0000 2014,13.800 PNS Kabupaten Bekasi peroleh fasilitas BPJS: Sebanyak 13.800 Pegawai Negeri Sipil di lingkup Pemerintah... http://t.co/13VaWsdTBf,"13,800 PNS Bekasi Regency obtain BPJS facilities: A total of 13,800 Civil Servants within the scope of the Government ... http://t.co/13VaWsdTBf"
Sun Feb 25 00:24:25 +0000 2018,"Akibat Kenakalan Perusahaan, Kejari Kabupaten Bekasi Berhasil Tagih Rp. 6 Miliar Tunggakan BPJS Ketenagakerjaan https://t.co/C9Mc05JGIZ","As a result of the Company's delinquency, the Bekasi District Prosecutor's Office managed to collect Rp. 6 Billion in Arrears of BPJS Ketenagakerjaan https://t.co/C9Mc05JGIZ"
Tue Oct 14 04:53:35 +0000 2014,Observasiiii (with Lima at RSUD Kabupaten Bekasi) Ã¢Â€Â” https://t.co/0mmqE2u3v2,Observationiii (with Lima at RSUD Kabupaten Bekasi) Ã ¢ Â € Â ”https://t.co/0mmqE2u3v2
Mon Jun 27 14:28:30 +0000 2016,RSUD Kabupaten Bekasi Pastikan tak Gunakan Vaksin Palsu https://t.co/fnc98mTGA0,Bekasi District Hospital Make sure not to use fake vaccines https://t.co/fnc98mTGA0
Thu Nov 24 03:57:21 +0000 2016,Walaupun cape lama antri nunggu.. lipstick harus tetep stunning... Ã°ÂŸÂ˜Â‰Ã°ÂŸÂ˜Â„Ã°ÂŸÂ˜Â„Ã°ÂŸÂ™ÂŠÃ°ÂŸÂ™Âˆ (at RSUD Kabupaten Bekasi) [pic] Ã¢Â€Â” https://t.co/uqIKZXfmm7,Even though I have been waiting in line for a long time ... the lipstick must still be stunning ... Ã ° ÂŸÂ˜Â ‰ Ã ° ÂŸÂ˜Â „Ã ° ÂŸÂ˜Â„ Ã ° ÂŸÂ ™ ÂŠÃ ° ÂŸÂ ™ Âˆ (at RSUD Kabupaten Bekasi) [pic] Ã ¢ Â € Â ”https://t.co/uqIKZXfmm7
