created_at,text,tweet_en
Mon Jul 27 00:28:11 +0000 2015,"#indonesia @arbib Sejumlah warga di Kelurahan Abepantai, Distrik Abepura, Kota Jayapura, Papua... http://t.co/oqTqWCtznF #Trend @mrarbib","#indonesia @arbib A number of residents in Abepantai Village, Abepura District, Jayapura City, Papua ... http://t.co/oqTqWCtznF #Trend @mrarbib"
Sun Sep 09 04:48:19 +0000 2018,"I'm at PMI RSUD Dok II | Unit Transfusi Darah Kota Jayapura in Kota Jayapura, Papua https://t.co/dyDwHLZkxh","I'm at PMI RSUD Dok II | Jayapura City Blood Transfusion Unit in Jayapura City, Papua https://t.co/dyDwHLZkxh"
Wed Sep 24 14:00:51 +0000 2014,Dinkes Kota Jayapura Tuntas Bagi KelambuÃ‚Â Malaria http://t.co/phbyHPizfU,Jayapura City Health Office Completely Distributes Mosquito Nets for Malaria http://t.co/phbyHPizfU
Wed May 10 03:54:43 +0000 2017,"Penyerahan Kartu Indonesia Sehat oleh Presiden RI di Distrik Muara Tami, Kota Jayapura, Papua #JKN #KIS https://t.co/xSWUMjki0y","Presentation of the Healthy Indonesia Card by the President of the Republic of Indonesia in Muara Tami District, Jayapura City, Papua #JKN #KIS https://t.co/xSWUMjki0y"
Thu Nov 01 19:06:55 +0000 2018,RSUD Dok II @Kota_Jayapura https://t.co/knseYmMPAV,RSUD Dok II @Kota_Jayapura https://t.co/knseYmMPAV
Mon Mar 05 08:23:01 +0000 2018,https://t.co/18q5w1w4Qa :  Meredam Penyebaran Difteri di Kota Jayapura: Disepakati bahwa dokterÃ¢Â€Â¦ https://t.co/WaYmwntIBg,https://t.co/18q5w1w4Qa: Reducing the Spread of Diphtheria in Jayapura City: It was agreed that doctorsÃ ¢ Â € Â¦ https://t.co/WaYmwntIBg
Sun Jun 12 11:19:08 +0000 2016,Dinkes Kota Jayapura Gandeng IPK Gelar Bakti Sosial di Kampung Moso https://t.co/fHBMKFL3uY https://t.co/CE6jjehHxC,Jayapura City Health Office Collaborates with IPK to Hold Social Service in Moso Village https://t.co/fHBMKFL3uY https://t.co/CE6jjehHxC
Sat Jun 13 12:52:09 +0000 2015,Dinkes Kota Jayapura Gandeng PKR Kantongi Daerah Penyebaran HIV/AIDS http://t.co/aGhypLJhKr,Jayapura City Health Office Collaborates with PKR to Cover the Spread of HIV / AIDS http://t.co/aGhypLJhKr
Tue Nov 03 06:26:15 +0000 2020,"Usai menyerahkan dokumen pelaksanaan perubahan anggaran Tahun 2020, Walikota Jayapura menyampaikan mulai  3 NovembeÃ¢Â€Â¦ https://t.co/yCLszxsJCd","After submitting the document for implementing the 2020 budget changes, the Mayor of Jayapura said that starting on November 3, ¢ Â € Â¦ https://t.co/yCLszxsJCd"
Tue Jul 07 14:02:37 +0000 2015,Kondisi Puskesmas Pembantu Skou Distrik Muara Tami Kota Jayapura https://t.co/Cj9eUiHyNd lewat @YouTube,"The condition of the Skou Assistance Health Center, Muara Tami District, Jayapura City https://t.co/Cj9eUiHyNd via @YouTube"
