created_at,text,tweet_en
Fri Apr 03 08:30:02 +0000 2015,#berita Kepada Dinas kesehatan Kota Pekanbaru Helda S Munir mengaku tidak bisa berbuat banyak terkait keberadaan http://t.co/63Og620uiS,#berita To the Pekanbaru City Health Office Helda S Munir admitted that he could not do much regarding the existence of http://t.co/63Og620uiS
Mon Sep 09 04:02:35 +0000 2019,"Kabut asap sangat pekat menyelimuti Kota Pekanbaru. Kabut asap ini sangat mengganggu pernafasan, karena udara sudahÃ¢Â€Â¦ https://t.co/ooL47gEFTS","The smog was very thick and covered the city of Pekanbaru. This smog is very irritating to breathing, because the air is alreadyÃ ¢ Â € Â¦ https://t.co/ooL47gEFTS"
Wed Jan 10 11:09:08 +0000 2018,https://t.co/zfmclHoLR8 3 Dokter RSUD Pekanbaru jadi Tersangka: Kabarriau com Pekanbaru amp nbsp Kepolisian Resor KÃ¢Â€Â¦ https://t.co/8tV24QObSf,https://t.co/zfmclHoLR8 3 Doctors of Pekanbaru Regional Hospital are Suspects: Kabarriau com Pekanbaru & nbsp Police Resort KÃ ¢ Â € Â¦ https://t.co/8tV24QObSf
Mon Apr 29 15:07:27 +0000 2013,"Dokter gigi yg bagus dan murah di kota pekanbaru dimana yah, info donk @infoPKU @info_DURI","A good and cheap dentist in the city of Pekanbaru, where is it, info, donk @infoPKU @info_DURI"
Sun Oct 02 12:30:38 +0000 2016,"PEKANBARU - Capaian indeks pembangunan manusia (IPM) tahun 2015 Kota Pekanbaru sebesar 79,32. Angka tersebut ... https://t.co/K9cnyJnqIu",PEKANBARU - Achievement of the Human Development Index (HDI) in 2015 for Pekanbaru City was 79.32. The figure is ... https://t.co/K9cnyJnqIu
Tue Mar 11 23:06:35 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Bi... http://t.co/Lff06H1xV8","Pekanbaru Outbreaks of haze-induced diseases: Pekanbaru City, Riau Province, is now listed as part of the Outer Bi ... http://t.co/Lff06H1xV8"
Fri Apr 22 18:42:38 +0000 2016,Pemko Pekanbaru Miliki Puskesmas Wisata:  PEKANBARU - Pemerintah Kota Pekanbaru di bawah kepemimpinan Walikot... https://t.co/NrDQwjjhCS,Pemko Pekanbaru Has Tourism Puskesmas: PEKANBARU - Pekanbaru City Government under the leadership of the Mayor ... https://t.co/NrDQwjjhCS
Tue Mar 11 21:57:36 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Bi... http://t.co/h3jcICWj72","Pekanbaru Outbreaks of haze-induced diseases: Pekanbaru City, Riau Province, is now listed as part of the Outer Bi ... http://t.co/h3jcICWj72"
Mon Feb 10 03:35:05 +0000 2014,"Antisipasi Kabut Asap, Dinkes Pekanbaru Bagikan 3.500 Masker: DINKES Kota Pekanbaru membagikan sekitar 3.500 m... http://t.co/4tL2JMZxwn","Anticipating smog, Pekanbaru Health Office Distributes 3,500 Masks: Pekanbaru City Health Office distributes around 3,500 m ... http://t.co/4tL2JMZxwn"
Mon Jul 15 08:49:37 +0000 2019,10 Penyakit Yang Diakibatkan Gaya Hidup Tak Sehat https://t.co/C8Y0IBBcVS,10 Diseases Caused by Unhealthy Lifestyle https://t.co/C8Y0IBBcVS
