,created_at,text,full_text
0,Thu Jul 09 10:40:34 +0000 2020,"Plt. Puskesmas Telaga Murni Gandatua Ariston Siregar mengatakan, alat swab test yang disediakan sebanyak 120 buah.â¦ https://t.co/jex8RjVKVd","Plt. Puskesmas Telaga Murni Gandatua Ariston Siregar mengatakan, alat swab test yang disediakan sebanyak 120 buah. Dirinya juga berharap dengan dilakukannya swab test ini dapat mencegah penyebaran Covid-19 khususnya di wilayah Kabupaten Bekasi"
1,Tue May 28 03:12:47 +0000 2019,Ruang Thalasemia dan Bank Darah RSUD Kabupaten Bekasi https://t.co/D4ohzkTqzy,
2,Fri Feb 05 11:30:47 +0000 2016,"Sejak Awal 2016, 7 Orang Meninggal Akibat DBD di Kabupaten Bekasi https://t.co/jNLm0RsCo7",
3,Wed Jun 10 03:15:05 +0000 2020,"Ungkap Angka Kehamilan Kabupaten Bekasi saat Wabah Corona, Dinkes: Ada Penurunan https://t.co/Twzce2izVL",
4,Wed Feb 18 07:44:38 +0000 2015,Terbaru:BREAKING NEWS: Mantan Dirut RSUD Kabupaten Bekasi Terjerat Korupsi http://t.co/P5O5JK0iFA #wartakota,
5,Sat Oct 20 02:17:18 +0000 2018,"Terkait Defisit BPJS Kesehatan, Ketua DPD Jamkeswatch Kabupaten Bekasi Sampaikan Surat Terbukaâ¦ https://t.co/6Qy2Ep5czv","Terkait Defisit BPJS Kesehatan, Ketua DPD Jamkeswatch Kabupaten Bekasi Sampaikan Surat Terbuka https://t.co/wsxdViUDAK https://t.co/V9trvEIkk5"
6,Wed Mar 11 05:36:59 +0000 2020,"Dinkes Sebut Kasus DBD di Kabupaten Bekasi Turun
Linkâ¬
https://t.co/kInEi1SzGG

#jabarnews #beritalokalâ¦ https://t.co/qoJ5p1CDu7","Dinkes Sebut Kasus DBD di Kabupaten Bekasi Turun
Linkâ¬
https://t.co/kInEi1SzGG

#jabarnews #beritalokal #beritahiperlokal #jabarkini #harianjabar #jabartoday #beritajabar #jabarterkini #jabar #dinkesjabar #kasusdbd #kabupatenbekasi #turun https://t.co/jAKkqiUW4a"
7,Tue Jul 23 02:01:57 +0000 2019,"Posyandu Mekar Murni 1 Kecamatan Sukakarya, Wakili Lomba Posyandu Tingkat Kabupaten Bekasi https://t.co/lODssgz73T",
8,Tue Oct 21 06:40:00 +0000 2014,3 | Warta Warga Kirana RW 023 -- -- Daftrar Rumah Sakit di Kabupaten Bekasi http://t.co/huqUBoko2j,
9,Tue Jun 09 10:42:14 +0000 2015,Dokter Sampai Tukang Tambal Ban Disiapkan di Pos Kedungwaringin untuk Pemudik: Polresta Kabupaten Bekasi beser... http://t.co/mNNe6xs58R,
