,created_at,text,full_text
0,Mon Aug 03 01:52:31 +0000 2020,Salam sehat #sobatkriskres berikut adalah update perkembangan penanggulangan krisis kesehatan bencana banjir bandanâ¦ https://t.co/jWlH4DoE0F,Salam sehat #sobatkriskres berikut adalah update perkembangan penanggulangan krisis kesehatan bencana banjir bandang yang terjadi di Kabupaten Luwu Utara per tanggal 3 Agustusâ¦ https://t.co/clhAsPJXiI
1,Sun Mar 25 14:25:02 +0000 2018,"Baramang, petani kakao dari Desa Saluparemang Selatan, Kamanre, Kabupaten Luwu, Sulsel. Berkat ketekunan, ia mampuâ¦ https://t.co/8rXMLv8OZu","Baramang, petani kakao dari Desa Saluparemang Selatan, Kamanre, Kabupaten Luwu, Sulsel. Berkat ketekunan, ia mampu bangkit dari keterpurukan produktivitas lahannya. https://t.co/9pOdNdDYPA"
2,Fri Jul 03 14:11:23 +0000 2015,Tim Terpadu Di Lutra Temukan Bumbu Kue Kadaluarsa:  Tim Terpadu Pengawas Obat dan Makanan (POM) Kabupaten Luwu... http://t.co/UyXkD7CcS4,
3,Wed Feb 08 18:24:59 +0000 2017,Daftar Puskesmas di Kabupaten Luwu Provinsi Sulawesi Selatan https://t.co/jhVh5O37Uu,
4,Mon Sep 24 04:00:54 +0000 2018,"Sembilan PPL dan 76 Bidan di Luwu Utara Terima SK PNS 100 Persen

MasambaÂ --- Sembilan Penyuluh Pertanian Lapanganâ¦ https://t.co/DYRZcBR1Pu","Sembilan PPL dan 76 Bidan di Luwu Utara Terima SK PNS 100 Persen

Masamba --- Sembilan Penyuluh Pertanian Lapangan (PPL) Kabupaten Luwu Utara kini boleh bernafas lega. Pasalnya, SK 100â¦ https://t.co/KF9EmI24Hm"
5,Fri Oct 11 10:56:56 +0000 2019,"Anak umur tiga tahun dari Kabupaten Luwu Utara,(Sulsel meninggal dengan usus keluar usai dirawat di rumah sakit. Muâ¦ https://t.co/r7yqcGDKyd","Anak umur tiga tahun dari Kabupaten Luwu Utara,(Sulsel meninggal dengan usus keluar usai dirawat di rumah sakit. Muncul dugaan karena malapraktik.  https://t.co/zDTQTjfdWT"
6,Sun Feb 05 21:16:50 +0000 2017,"Info Lengkap Apotek di Kabupaten Luwu Utara Provinsi Sulawesi Selatan Republik Indonesia, Valid dan Reliable https://t.co/9uSyfRX4wf",
7,Sat Sep 17 04:50:52 +0000 2016,Puskesmas Wasuponda Kabupaten Luwu Timur adakan klinik kesehatan olahraga dan pengendalianâ¦ https://t.co/FvZUrTIoy2 https://t.co/UbkKFQVqcb,
8,Sun May 10 09:28:29 +0000 2020,"Peduli Tenaga Medis, IDI Bagi APD ke Rumah Sakit dan Klinik se Kabupaten Luwu https://t.co/tw5hd0ri8B",
9,Tue Apr 28 21:23:37 +0000 2020,"Seorang perawat di Kabupaten Luwu Timur, dinyatakan positif terinfeksi virus Corona (COVID-19). Ia dinyatakan positâ¦ https://t.co/X6yOKuonvg","Seorang perawat di Kabupaten Luwu Timur, dinyatakan positif terinfeksi virus Corona (COVID-19). Ia dinyatakan positif Corona berdasarkan hasil tes swab. https://t.co/QjBwkgnAtN"
