,created_at,text,full_text
0,Fri Jan 27 14:55:22 +0000 2017,Data Resmi Puskesmas di Kota Palembang Provinsi Sumatera Selatan Republik Indon https://t.co/lD7lIqtp9N #lengkapseluruhpublichealthservice,
1,Mon Aug 11 07:57:11 +0000 2014,"Dinkes imbau pedagang jual makanan sehat: Dinas Kesehatan Kota Palembang, Sumatera Selatan mengi... http://t.co/A7X7JA3PwS @infosumatera",
2,Mon Jun 15 08:30:28 +0000 2020,"Warga di komplek Bumi Sako Damai Kota Palembang, Sumatera Selatan, berinisiatif membentuk 'Kampung Tangkal Covid-19â¦ https://t.co/j0jvEwPfmh","Warga di komplek Bumi Sako Damai Kota Palembang, Sumatera Selatan, berinisiatif membentuk 'Kampung Tangkal Covid-19' pertama di Palembang, yang memerhatikan berbagai aspek mulai dari kesehatan masyarakat hingga protokol kesehatan untuk mencegah penyebaran virus corona #SPIMetroTV https://t.co/cOmLQbAzJk"
3,Mon Mar 07 09:47:35 +0000 2016,Status Terakhir di WA Dokter Cantik Asal Balikpapan yang Hilang ... - Banjarmasin Post https://t.co/VciE2hG64L #infoBPN,
4,Fri Jun 21 12:27:10 +0000 2019,"Assalamu'alaikum SanakDulur DPPKB,
Hari Jumat (21/6), Jajaran PNS dan Non PNSD melakukan senam pagi bersama di Halaâ¦ https://t.co/xDkQZT773t","Assalamu'alaikum SanakDulur DPPKB,
Hari Jumat (21/6), Jajaran PNS dan Non PNSD melakukan senam pagi bersama di Halaman Kantor DPPKB Kota Palembang.
.
.
Ayo SanakDulur, budayakan hidup sehat danâ¦ https://t.co/j0iZQiNpz0"
5,Mon May 13 03:33:14 +0000 2019,"Diskusi Wong Kito ""Stabilitas Harga Pangan dan Makanan Sehat"" selama Bulan Puasa di Taman Seberang TVRI, Senin, 13â¦ https://t.co/vdHmrzA1Z9","Diskusi Wong Kito ""Stabilitas Harga Pangan dan Makanan Sehat"" selama Bulan Puasa di Taman Seberang TVRI, Senin, 13 Mei 2019.

Twitter : @bakohumasplg
YouTube : Bakohumas Palembang
Facebook : Bakohumas Kota Palembang
Website : https://t.co/3lNETMGwLV https://t.co/6AdsZMZ59Q"
6,Tue Feb 10 07:04:33 +0000 2015,"Sumsel - Tak Profesional, Rumah Sakit Berurusan Dengan DPRD Kota Palembang: Pengaduan masyarakat dan ketidakpu... http://t.co/jR8qRVbO4L",
7,Wed May 14 08:17:11 +0000 2014,"@fkump09 kpd rotasi IKM/IKK yg berikutnya.rotasi dimulai senin,19mei pkl.8:00.pengarahan di Dinkes Kota Palembang.",
8,Mon Oct 13 10:08:25 +0000 2014,Udara di Kota Palembang berada pd level tdk sehat akibat kabut asap #NET17 http://t.co/6HZTo4BbPX,
9,Fri May 09 09:51:35 +0000 2014,#News Puskesmas Palembang wajibkan calon haji vaksin influenza: Lima Puskesmas di Kota Palembang yang ditugask... http://t.co/AMQDC52zhN,
10,Thu Jul 17 09:23:22 +0000 2014,"Mengaku Sakit, Istri Muda Wali Kota Palembang Batal Diperiksa: Pemeriksaan terhadap Liza dijadwal ulang ... http://t.co/eQN3XSs8ve #news",
11,Tue Jan 16 05:49:25 +0000 2018,"Palembang Gelar Rakor Cegah Wabah Difteri

Untuk mencegah wabah penyakit difteri di Kota Palembang, Dinas... https://t.co/MtGnbELPr2",
12,Sun Jan 29 15:25:22 +0000 2017,"Data Resmi Puskesmas di Kota Palembang Provinsi Sumatera Selatan Republik Indonesia, Lengkap dan Reliable https://t.co/oLpcOkizPJ",
13,Thu Sep 20 08:25:40 +0000 2018,"Kakankemenag Kota Palembang, H.Deni Priansyah, https://t.co/z8cIGId3Hh, M.Pd.I membuka kegiatan Re-Sosialisasi Imunâ¦ https://t.co/l9ZLwrREAc","Kakankemenag Kota Palembang, H.Deni Priansyah, https://t.co/z8cIGId3Hh, M.Pd.I membuka kegiatan Re-Sosialisasi Imunisasi MR Kota Palembang Sesi ke-2 dg peserta Ka.RA, MI,MTs se-Kota Palembang di Aula Penerbit Erlangga, Kamis (20/09) (Foto:Acz) https://t.co/wZCTMe8b3Z"
14,Fri Feb 03 18:15:25 +0000 2017,"Info Lengkap Apotek di Kota Palembang Provinsi Sumatera Selatan Republik Indonesia, Valid dan Reliable https://t.co/3E60NfKFLN",
15,Wed Jul 03 19:02:47 +0000 2019,I just published Jual Obat Aborsi di Palembang Tlp/wa: 0821â4451â1515 | Apotik Cytotec Kota Palembang https://t.co/Lm9lGQ9koD,
16,Tue Aug 13 03:44:01 +0000 2019,"Imunisasi Campak MIN 2 Kota palembang, dari Dinas kesehatan dan puskesmas pakjo (13/08)",
17,Sun Nov 29 04:28:26 +0000 2020,Ambulans Kecamatan Sungai Serut Kota Bengkulu kembali mengantar warga sakit. Kali ini Hendri yang diagnosa sakit stâ¦ https://t.co/2Zx5GjQ0fN,"Ambulans Kecamatan Sungai Serut Kota Bengkulu kembali mengantar warga sakit. Kali ini Hendri yang diagnosa sakit stroke, warga Jalan Pangeran Ayin, Blok B, RT 20, RW 04, Kelurahan Sako Baru, Kecamatan Sako Kota Palembang, mendapat perhatian khusus dari Pemerintah Kota Bengkulu. https://t.co/AhjVW9UD8E"
18,Fri Dec 07 05:25:55 +0000 2018,MI Daarul Aitam Sabet Juara 3 Sekolah Sehat Se Kota Palembang https://t.co/XidanKJ72r https://t.co/HLtq3HRpZ8,
19,Tue May 07 09:23:26 +0000 2019,dan manfaat Haul &amp; Ziarah Kubra ini secara zhahir menjadi destinasi wisata religi yang akan ters membumi di Kota Paâ¦ https://t.co/WJE4nEngUp,"dan manfaat Haul &amp; Ziarah Kubra ini secara zhahir menjadi destinasi wisata religi yang akan ters membumi di Kota Palembang &amp; secara batin akan sbg nutrisi rohani dan obat hati bagi kita yg mencintai ulama dan auliyaâ,â ujarnya. 
#WisataZiarahKubro2019 https://t.co/lsvFubu9zE"
20,Tue May 07 09:53:45 +0000 2019,dan manfaat Haul dan Ziarah Kubra ini secara zhahir menjadi destinasi wisata religi yang akan terus membumi di Kotaâ¦ https://t.co/y2KGCLoHfh,"dan manfaat Haul dan Ziarah Kubra ini secara zhahir menjadi destinasi wisata religi yang akan terus membumi di Kota Palembang dan secara batin akan sebagai nutrisi rohani dan obat hati bagi kita yang mencintai ulama dan auliyaâ,â ujarnya. #WisataZiarahKubro2019

Uu"
21,Tue Aug 22 14:24:36 +0000 2017,Pemerintah Kota Palembang Pastikan Hewan Qurban Bebas Penyakit https://t.co/bjImOusq25 https://t.co/1BRDaGuDgO,
22,Wed Feb 01 10:43:11 +0000 2017,"Data Resmi Puskesmas di Kota Palembang Provinsi Sumatera Selatan Republik Indonesia, Lengkap dan Reliable https://t.co/q4y2qVlu4j",
23,Sun Mar 31 00:57:42 +0000 2019,Ini bukan Kampanye 02 hanya Jalan sehat di kota Palembang. Inilah kenyataan yang harus dihadapi oleh 01.â¦ https://t.co/WdD7aCdRs6,"Ini bukan Kampanye 02 hanya Jalan sehat di kota Palembang. Inilah kenyataan yang harus dihadapi oleh 01. #JokowiDiambangKekalahan  siap2 cari jalan selamat untuk Pendukung 01,  RAKYAT SUDAH MUAK DIBOHONGIN TERUS.  CC @BamsBulaksumur  @SuburBur  @DewiJauh  @PANDHITADHYASA1 https://t.co/BAACN4dOJQ"
24,Fri Jan 17 16:46:36 +0000 2014,Dinkes Palembang alokasikan dana kesehatan gratis: Dinas Kesehatan Kota Palembang tetap mengalokasikan dana pa... http://t.co/0OjIcCd16U,
25,Thu Oct 29 05:13:29 +0000 2015,"BMKG: Kualitas Udara Palembang Tidak Sehat: Kualitas udara di Kota Palembang, Sumatera Selatan mulai membaik, ... https://t.co/MXd1qPwwXp",
26,Tue Feb 10 07:04:43 +0000 2015,"Sumsel - Tak Profesional, Rumah Sakit Berurusan Dengan DPRD Kota Palembang: Pengaduan masyarakat dan ketidakpu... http://t.co/HSA08vsxZE",
27,Sat Sep 07 10:00:04 +0000 2019,"Dilansir dari Palembang Pos pada Sabtu, 7 September 2019. DPMPTSP Kota Palembang Pertama di Indonesia Terapkan Valiâ¦ https://t.co/wa219EpneR","Dilansir dari Palembang Pos pada Sabtu, 7 September 2019. DPMPTSP Kota Palembang Pertama di Indonesia Terapkan Validasi Surat Tanda Registrasi (STR) Dokter dan Dokter Gigi Secara Online. Pemerintah Kota Palembangâ¦ https://t.co/tYGJTK9cX0"
28,Tue Sep 08 01:11:51 +0000 2015,Kota Palembang Diproyeksikan Jadi Kota Sehat ~~&gt;  https://t.co/yy5VcVrMUU,
29,Thu Jul 17 09:20:27 +0000 2014,"Mengaku Sakit, Istri Muda Wali Kota Palembang Batal Diperiksa http://t.co/ulBCwbqEA3",
30,Wed Jan 03 13:20:00 +0000 2018,Alamat Jadwal Praktek Dokter Kandungan Kota Palembang lengkap dengan telepon https://t.co/qA5fDvhaKo https://t.co/cMbfA9ewEe,
