,created_at,text,full_text
0,Fri Apr 03 08:30:02 +0000 2015,#berita Kepada Dinas kesehatan Kota Pekanbaru Helda S Munir mengaku tidak bisa berbuat banyak terkait keberadaan http://t.co/63Og620uiS,
1,Mon Sep 09 04:02:35 +0000 2019,"Kabut asap sangat pekat menyelimuti Kota Pekanbaru. Kabut asap ini sangat mengganggu pernafasan, karena udara sudahâ¦ https://t.co/ooL47gEFTS","Kabut asap sangat pekat menyelimuti Kota Pekanbaru. Kabut asap ini sangat mengganggu pernafasan, karena udara sudah tidak sehat.
#Regional
https://t.co/CGuy8vXUCS"
2,Wed Jan 10 11:09:08 +0000 2018,https://t.co/zfmclHoLR8 3 Dokter RSUD Pekanbaru jadi Tersangka: Kabarriau com Pekanbaru amp nbsp Kepolisian Resor Kâ¦ https://t.co/8tV24QObSf,https://t.co/zfmclHoLR8 3 Dokter RSUD Pekanbaru jadi Tersangka: Kabarriau com Pekanbaru amp nbsp Kepolisian Resor Kota Pekanbaru melakukan penyidikan dugaan korupsi pengadaan Alat Kesehatan senilai Rp1 5 miliar di Rumah Sakit Umum Daerahâ¦ https://t.co/3t8J1J8Ccf  #kabarriau
3,Mon Apr 29 15:07:27 +0000 2013,"Dokter gigi yg bagus dan murah di kota pekanbaru dimana yah, info donk @infoPKU @info_DURI",
4,Sun Oct 02 12:30:38 +0000 2016,"PEKANBARU - Capaian indeks pembangunan manusia (IPM) tahun 2015 Kota Pekanbaru sebesar 79,32. Angka tersebut ... https://t.co/K9cnyJnqIu",
5,Tue Mar 11 23:06:35 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Bi... http://t.co/Lff06H1xV8",
6,Fri Apr 22 18:42:38 +0000 2016,"Pemko Pekanbaru Miliki Puskesmas Wisata: 
PEKANBARU - Pemerintah Kota Pekanbaru di bawah kepemimpinan Walikot... https://t.co/NrDQwjjhCS",
7,Tue Mar 11 21:57:36 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Bi... http://t.co/h3jcICWj72",
8,Mon Feb 10 03:35:05 +0000 2014,"Antisipasi Kabut Asap, Dinkes Pekanbaru Bagikan 3.500 Masker: DINKES Kota Pekanbaru membagikan sekitar 3.500 m... http://t.co/4tL2JMZxwn",
9,Mon Jul 15 08:49:37 +0000 2019,10 Penyakit Yang Diakibatkan Gaya Hidup Tak Sehat https://t.co/C8Y0IBBcVS,
10,Wed Feb 04 13:21:11 +0000 2015,"Dinas Kesehatan Kota Pekanbaru, Provinsi Riau,  mengatakan pola hidup yang tidak sehat serta suka mengkonsumsi... http://t.co/aaCyjn0Y2y",
11,Thu May 31 19:48:32 +0000 2018,"Vidio: Penyakit Kota Pekanbaru Metropolitan Madani,  Hujan Sebentar Banjir, Warga: Bagai Mana mau Riau Madani https://t.co/6PVMz8nbd9",
12,Fri Mar 24 04:16:07 +0000 2017,Realisasi Fisik RSUD Pekanbaru Sudah Capai 80 Persen: Bangunan Fisik Rumah Sakit Umum Daerah (RSUD) Kota Pekanbaruâ¦ https://t.co/mCP0HgfDRN,
13,Fri Oct 23 04:11:46 +0000 2015,Posko Evakuasi Balita di Tiga Puskesmas: Pemerintah Kota Pekanbaru kembali mengaktifkan posko evakuasi Balita ... https://t.co/sktU4MKN9H,
14,Thu Apr 12 10:09:32 +0000 2018,Begini Cara Dinas Kesehatan Kota Pekanbaru Tangani Kasus Gizi Buruk https://t.co/VKDkl2n6IR https://t.co/4xGpOXwTJT,
15,Sun Apr 29 14:05:03 +0000 2018,"Jadi Salah Satu Penyakit Mematikan di Indonesia, Prodia Ajak Para Wanita di Kota Pekanbaru Lawan Kanker Serviksâ¦ https://t.co/RvpaPmhddI","Jadi Salah Satu Penyakit Mematikan di Indonesia, Prodia Ajak Para Wanita di Kota Pekanbaru Lawan Kanker Serviks https://t.co/HJ5ie3zWjm ( GoNews )"
16,Thu Nov 20 13:31:53 +0000 2014,"Pekanbaru siagakan Puskesmas antisipasi banjir: Dinas Kesehatan Kota Pekanbaru, Provinsi Riau, telah menyiagak... http://t.co/X0kGeRepZj",
17,Sat Sep 14 09:05:20 +0000 2019,"UPDATE INFO KABUT ASAP RIAU

Sejak mulai kamis (12/9) perhitungan ISPU di dua alat di titik Tenayan Raya dan Pusatâ¦ https://t.co/amHDiH0ICn","UPDATE INFO KABUT ASAP RIAU

Sejak mulai kamis (12/9) perhitungan ISPU di dua alat di titik Tenayan Raya dan Pusat kota Pekanbaru menunjukkan angka 188 dan 123 atau masuk kategori ""Tidak Sehat"". Sementara ituâ¦ https://t.co/tXZBNWXNd9"
18,Tue Jan 30 17:02:15 +0000 2018,Foging Bukan Solusi Kurangi Populasi Nyamuk DBD: Dinas Kesehatan (Diskes) Kota Pekanbaru mengatakan foging bukanlahâ¦ https://t.co/ogtqabNx6U,Foging Bukan Solusi Kurangi Populasi Nyamuk DBD: Dinas Kesehatan (Diskes) Kota Pekanbaru mengatakan foging bukanlah solusi yang tepat dalam pencegahan Demam Berdarah Dengue(DBD). https://t.co/3U2LA4x1ZH https://t.co/JalkyKBZv5
19,Thu Jul 14 17:38:00 +0000 2016,"Cerita nya keliling kota pekanbaru ó¾³ó¾ó¾ó¾°
W/t  calon ibu bidanó¾³",
20,Wed Oct 04 16:33:05 +0000 2017,Waspadaâ¦ Rupanya Masih Banyak Obat dan Kosmetik Ilegal Dijual di Kota Pekanbaru https://t.co/mL70kxo1gE https://t.co/R4cSCwpw4f,
21,Wed Apr 06 03:17:09 +0000 2016,Sebanyak 45 Peserta Ikuti Seleksi Kepala Puskesmas di Kota Pekanbaru https://t.co/JqwvdEah32 https://t.co/LlD3kvxqog,
22,Tue Dec 24 05:20:25 +0000 2013,"Cc : @dhitprasetyo ""@Kota_Pekanbaru: Adit, Bocah Korban Penganiayaan Juga Alami Kekurangan Gizi http://t.co/tFhgJMbdKl - GoRiaudotcom""",
23,Tue Sep 24 02:32:41 +0000 2019,Relawan MDMC Kota Pekanbaru salurakan masker n95 ke posko Rumah Evakuasi Korban Bencana Asap di Klinik Pratama UMRIâ¦ https://t.co/1vHvd9HVO5,"Relawan MDMC Kota Pekanbaru salurakan masker n95 ke posko Rumah Evakuasi Korban Bencana Asap di Klinik Pratama UMRI untuk korban yang mulai terkena dampak asap berupa penyakit ISPA. 

Mari bantu saudara-saudara kitaâ¦ https://t.co/HQRV1CvO6a"
24,Tue Apr 24 11:11:58 +0000 2018,RSUD Tengku Rafian Siak Menuju Akreditasi SNARS https://t.co/S6MA2sRTqr https://t.co/N3hqtpzCoV,
25,Wed Feb 06 12:18:42 +0000 2013,"@Kota_Pekanbaru mlm2 cari cemilan sehat enaknya ke susu kdle segar alami sbrng plz.telkom sudirman,ditunggu y tweepss..",
26,Fri Aug 30 08:51:35 +0000 2013,"Cuaca Di Pekanbaru Tidak Sehat Akibat Kabut Asap: Pekanbaru, Riau
Kualitas udara di kota Pekanbaru, Riau semak... http://t.co/DPKEZ4Pa2X",
27,Tue Mar 11 23:01:08 +0000 2014,"Pekanbaru KLB penyakit akibat asap: Kota Pekanbaru, Provinsi Riau, kini tercatat berada dalam Kejadian Luar Biasa (KLB) yang warganya...",
28,Thu Oct 01 02:36:35 +0000 2020,"@PongKongMinja Hai Sahabat. dapat kami informasikan untuk Kota Pekanbaru, Sahabat dapat menukarkan vouchernya di Laâ¦ https://t.co/zufi2iBiZB","@PongKongMinja Hai Sahabat. dapat kami informasikan untuk Kota Pekanbaru, Sahabat dapat menukarkan vouchernya di Lab Klinik KF Pekanbaru Jl. Jend. Sudirman No.724, Pekanbaru
no telp 0761-8525511. 

Semoga sehat selalu. -aptArman"
29,Thu May 21 05:55:13 +0000 2015,"Perawat bukan dirumah sakit atau klinik, dialam juga. Temanya merawat alam hari ni @dinas perumahan,pemukiman dan cipta karya kota pekanbaru",
30,Sat Oct 12 10:40:53 +0000 2013,"RTRW Kota Pekanbaru Belum Disahkan, Pembangunan Pesat Terus: 
Riau Pos Online-Pembangunan bidan... http://t.co/nntMXvf4jA (Via Riaupos)",
31,Mon Nov 16 07:49:40 +0000 2015,"Diskes Pekanbaru Diminta Aktif Cegah DBD: Peralihan musim seperti yang terjadi di Kota Pekanbaru saat ini, san... https://t.co/JMDprPoaBE",
32,Wed Feb 25 01:30:05 +0000 2015,#TuitPekanbaru Wali Kota Pekanbaru Belum Ada Nyatakan KLB Demam Berdarah #Pekanbaru #Tuit,
33,Fri Aug 30 08:23:35 +0000 2013,"Cuaca Di Pekanbaru Tidak Sehat Akibat Kabut Asap: Pekanbaru, Riau
Kualitas udara di kota Pekanbaru, Riau semak... http://t.co/XmmVh4axyk",
34,Sat Feb 27 05:02:16 +0000 2016,#KabarPP Jalan Sehat Jelang Musyda Ke-11 Muhammadiyah dan 'Aisyiyah Kota Pekanbaru https://t.co/xs00YoFqwx,
35,Mon Feb 06 17:52:22 +0000 2017,"Data Resmi Puskesmas di Kota Pekanbaru Provinsi Riau Republik Indonesia, Lengkap dan Reliable https://t.co/eB0aswZSsc",
36,Wed Sep 16 13:28:33 +0000 2015,"Di saatÂ  warga banyak yang sakit, eh Wali Kota Pekanbaru, Firdaus MT tetap melanjutkan kunker ke Tiongkok. http://t.co/dOGRnbaLvJ",
37,Fri Feb 03 08:11:00 +0000 2017,"Data Resmi Puskesmas di Kota Pekanbaru Provinsi Riau Republik Indonesia, Lengkap dan Reliable https://t.co/NWBWVbGOfT",
38,Tue Apr 16 01:30:22 +0000 2019,"Sebanyak dua pasien yang dirawat di Rumah Sakit Jiwa Tampan, Kota Pekanbaru, Riau, sudah mengantongi undangan untukâ¦ https://t.co/cjiSCOAWDu","Sebanyak dua pasien yang dirawat di Rumah Sakit Jiwa Tampan, Kota Pekanbaru, Riau, sudah mengantongi undangan untuk mengikuti Pemilu serentak 2019

https://t.co/cQn6ih8T2n"
39,Wed Sep 17 10:18:19 +0000 2014,"Sama kyk Payakumbuh""@Metro_TV: Udara Kota Pekanbaru tak Sehat via @metro_tv http://t.co/qHlxVV1E97""",
40,Mon Dec 07 15:20:26 +0000 2015,"#berita Kelurahan Simpang Tiga, Kecamatan Bukit Raya mewakili kota Pekanbaru di Lomba Pola Hidup Bersih Sehat ... https://t.co/70qzasL5Mo",
41,Fri Jul 10 18:35:30 +0000 2015,Udara Kota Pekanbaru Mulai Tidak Sehat akibat Kabut Asap http://t.co/ZKOGo71scT http://t.co/iI75gMBIKW,
42,Tue Jan 30 06:22:24 +0000 2018,Agen Jual Obat Telat Bulan Cytotec Di Kota Pekanbaru || 081227677373 || Agen Jual Obat Penggugur Kandungan Di Areaâ¦ https://t.co/XgeyDdOjRA,Agen Jual Obat Telat Bulan Cytotec Di Kota Pekanbaru || 081227677373 || Agen Jual Obat Penggugur Kandungan Di Area Pekanbaru https://t.co/9SsSD8AML5
43,Wed Jul 20 10:03:43 +0000 2016,"Mau sehat ? gampang dan praktis bisa dilakukan dirumah bersama ""Nikita Jogging"" cc @Kota_Pekanbaru https://t.co/ZHy6rp0KJp",
44,Fri Jan 26 10:46:56 +0000 2018,"Walikota Pekanbaru DR.H.Firdaus,ST,MT Soft Opening RSUD Kota Pekanbaru https://t.co/z1X1ZFUiUf",
