,created_at,text,full_text
0,Mon Jul 27 00:28:11 +0000 2015,"#indonesia @arbib Sejumlah warga di Kelurahan Abepantai, Distrik Abepura, Kota Jayapura, Papua... http://t.co/oqTqWCtznF #Trend @mrarbib",
1,Sun Sep 09 04:48:19 +0000 2018,"I'm at PMI RSUD Dok II | Unit Transfusi Darah Kota Jayapura in Kota Jayapura, Papua https://t.co/dyDwHLZkxh",
2,Wed Sep 24 14:00:51 +0000 2014,Dinkes Kota Jayapura Tuntas Bagi KelambuÂ Malaria http://t.co/phbyHPizfU,
3,Wed May 10 03:54:43 +0000 2017,"Penyerahan Kartu Indonesia Sehat oleh Presiden RI di Distrik Muara Tami, Kota Jayapura, Papua #JKN #KIS https://t.co/xSWUMjki0y",
4,Thu Nov 01 19:06:55 +0000 2018,RSUD Dok II @Kota_Jayapura https://t.co/knseYmMPAV,
5,Mon Mar 05 08:23:01 +0000 2018,https://t.co/18q5w1w4Qa :  Meredam Penyebaran Difteri di Kota Jayapura: Disepakati bahwa dokterâ¦ https://t.co/WaYmwntIBg,
6,Sun Jun 12 11:19:08 +0000 2016,Dinkes Kota Jayapura Gandeng IPK Gelar Bakti Sosial di Kampung Moso https://t.co/fHBMKFL3uY https://t.co/CE6jjehHxC,
7,Sat Jun 13 12:52:09 +0000 2015,Dinkes Kota Jayapura Gandeng PKR Kantongi Daerah Penyebaran HIV/AIDS http://t.co/aGhypLJhKr,
8,Tue Nov 03 06:26:15 +0000 2020,"Usai menyerahkan dokumen pelaksanaan perubahan anggaran Tahun 2020, Walikota Jayapura menyampaikan mulai  3 Novembeâ¦ https://t.co/yCLszxsJCd","Usai menyerahkan dokumen pelaksanaan perubahan anggaran Tahun 2020, Walikota Jayapura menyampaikan mulai  3 November 2020 ini rumah sakit pemerintah daerah, Kota Jayapura yang berada di Koya Barat Distrik Muara Tami â Papua resmi beroperasi. https://t.co/qHQhhxoEYo"
9,Tue Jul 07 14:02:37 +0000 2015,Kondisi Puskesmas Pembantu Skou Distrik Muara Tami Kota Jayapura https://t.co/Cj9eUiHyNd lewat @YouTube,
